station_group_id,name,country,region,dataset,latitude,longitude,elevation_m,climate_count,_country_key,_name_key,_lat_key,_lon_key
usa|fairbanks.11.ne-noaa-nesdis-fcdas|64.9735|-147.5100,Fairbanks.11.NE-NOAA-NESDIS-FCDAS,USA,AK,SRC-TMYx,64.9735,-147.51,347.5,4,usa,fairbanks.11.ne-noaa-nesdis-fcdas,64.9735,-147.51
usa|fairbanks.intl.ap|64.8039|-147.8761,Fairbanks.Intl.AP,USA,AK,Climate-Normals,64.8039,-147.8761,131.7,3,usa,fairbanks.intl.ap,64.8039,-147.8761
usa|fairbanks.intl.ap|64.8040|-147.8760,Fairbanks.Intl.AP,USA,AK,"Custom-702610, SRC-TMYx",64.804,-147.876,131.7,5,usa,fairbanks.intl.ap,64.804,-147.876
usa|fairfield muni ap|41.0500|-91.9830,Fairfield Muni AP,USA,IA,TMY3,41.05,-91.983,244.0,1,usa,fairfield muni ap,41.05,-91.983
usa|fairfield-san.francisco.bay.reserve|38.2477|-122.0370,Fairfield-San.Francisco.Bay.Reserve,USA,CA,Custom-998011,38.2477,-122.037,4.0,1,usa,fairfield-san.francisco.bay.reserve,38.2477,-122.037
usa|fairfield-san.francisco.bay.reserve|38.2004|-122.0264,Fairfield-San.Francisco.Bay.Reserve,USA,CA,SRC-TMYx,38.20038,-122.0264,4.0,4,usa,fairfield-san.francisco.bay.reserve,38.2004,-122.0264
usa|fairfield-travis afb|38.2670|-121.9330,Fairfield-Travis AFB,USA,CA,TMY3,38.267,-121.933,18.0,1,usa,fairfield-travis afb,38.267,-121.933
usa|fairfield-travis.afb|38.2670|-121.9170,Fairfield-Travis.AFB,USA,CA,CTZ2010,38.267,-121.917,18.0,1,usa,fairfield-travis.afb,38.267,-121.917
usa|fairfield-travis.afb|38.2667|-121.9333,Fairfield-Travis.AFB,USA,CA,Climate-Normals,38.2667,-121.9333,18.0,3,usa,fairfield-travis.afb,38.2667,-121.9333
usa|fairfield-travis.afb|38.2670|-121.9500,Fairfield-Travis.AFB,USA,CA,Custom-745160,38.267,-121.95,22.0,1,usa,fairfield-travis.afb,38.267,-121.95
